4186,10,13,30,35,38,44,15
4185,11,12,24,33,38,46,30
4184,11,18,25,36,39,49,41
4183,7,18,32,37,41,44,19
4182,4,8,21,25,43,46,32
4181,6,10,25,26,34,40,30
4180,2,3,8,16,20,47,10
4179,7,18,19,30,36,48,11
4178,2,6,7,31,35,39,15
4177,3,11,13,22,28,48,21
4176,3,5,15,23,37,42,48
4175,3,5,9,23,43,49,8
4174,1,3,6,12,21,41,18
4173,4,8,10,15,16,26,17
4172,1,2,6,9,44,48,24
4171,14,23,29,30,39,48,12
4170,1,7,8,23,30,33,21
4169,4,12,26,30,46,47,6
4168,4,7,22,29,33,46,48
4167,4,25,28,33,43,48,31
4166,3,27,34,35,38,49,17
4165,6,14,18,22,35,36,13
4164,12,25,33,40,43,46,21
4163,7,13,14,17,40,44,35
4162,1,5,12,15,22,42,37
4161,6,8,28,37,41,49,40
4160,5,9,20,23,45,46,7
4159,24,26,30,32,37,47,2
4158,8,16,17,34,38,48,25
4157,13,24,28,34,37,44,29
4156,10,15,25,43,45,49,4
4155,10,15,29,31,33,49,30
4154,6,18,24,26,36,48,5
4153,4,19,40,41,46,47,20
4152,11,13,16,31,42,48,21
4151,10,11,13,26,32,39,44
4150,6,22,27,32,37,44,19
4149,4,11,21,23,31,35,48
4148,16,32,34,35,36,41,14
4147,1,9,16,18,35,43,12
4146,3,14,15,17,25,27,31
4145,5,20,35,39,40,49,27
4144,11,18,20,32,38,39,34
4143,2,4,22,24,30,33,49
4142,3,8,15,28,37,43,49
4141,4,5,13,22,24,30,36
4140,2,14,15,30,31,43,27
4139,17,21,22,35,37,42,9
4138,6,11,20,28,33,43,16
4137,9,12,15,23,27,47,45
4136,1,5,24,36,41,46,39
4135,2,10,24,35,45,49,37
4134,6,8,17,28,32,46,16
4133,8,25,27,34,45,47,19
4132,11,13,22,31,47,49,39
4131,3,9,12,18,19,34,24
4130,6,13,18,22,34,35,40
4129,2,11,12,19,25,36,16
4128,3,20,24,29,32,44,46
4127,10,19,22,34,39,43,35
4126,1,5,31,34,38,45,21
4125,4,12,14,24,36,38,17
4124,7,14,17,18,31,38,46
4123,3,10,13,15,32,37,8
4122,2,4,8,19,35,39,7
4121,5,31,33,34,38,46,39
4120,13,14,19,22,31,42,41
4119,10,15,22,31,42,48,4
4118,19,22,26,37,40,46,14
4117,15,16,22,34,35,43,26
4116,1,6,9,11,29,36,12
4115,8,15,22,24,43,47,44
4114,6,8,9,20,45,49,21
4113,10,19,25,29,33,37,24
4112,2,15,19,35,41,48,33
4111,1,3,33,38,39,42,31
4110,8,12,21,38,40,43,25
4109,3,4,8,13,14,17,20
4108,10,11,16,24,34,35,1
4107,2,3,4,16,22,39,48
4106,4,13,22,36,38,46,12
4105,1,4,18,24,37,42,26
4104,22,25,29,31,34,43,11
4103,9,24,31,34,43,44,1
4102,2,15,28,39,42,44,5
4101,30,32,40,43,45,49,5
4100,7,19,20,21,22,29,37
4099,2,14,16,21,36,47,1
4098,9,11,24,32,39,49,26
4097,2,5,10,12,14,37,17
4096,7,8,17,29,32,42,1
4095,2,8,19,29,38,41,20
4094,12,21,26,27,35,44,10
4093,10,15,17,33,36,45,34
4092,6,15,16,17,25,34,31
4091,11,27,31,33,34,36,13
4090,10,26,28,35,37,46,20
4089,2,15,29,37,45,49,24
4088,1,10,37,40,45,47,19
4087,5,18,27,32,48,49,21
4086,3,7,38,41,44,49,20
4085,7,10,11,21,32,48,27
4084,2,5,25,26,29,30,42
4083,10,19,21,22,28,31,34
4082,1,5,7,11,19,47,44
4081,5,9,15,28,46,48,8
4080,3,10,32,34,44,48,29
4079,2,15,17,18,39,45,26
4078,9,16,17,20,34,38,18
4077,6,16,20,23,40,48,45
4076,9,13,17,39,46,47,22
4075,5,8,28,38,40,43,39
4074,2,8,12,30,35,49,38
4073,3,8,12,18,24,41,11
4072,17,19,21,23,30,40,33
4071,1,17,30,37,41,43,32
4070,15,17,26,31,40,46,19
4069,6,14,29,30,35,42,25
4068,14,26,27,30,46,48,10
4067,7,19,35,40,43,47,33
4066,12,14,15,16,21,40,23
4065,9,12,17,23,29,46,20
4064,21,22,27,35,40,42,3
4063,18,19,25,28,31,44,34
4062,9,10,11,13,23,42,20
4061,7,30,39,42,43,48,33
4060,16,26,34,36,42,49,41
4059,5,7,32,38,42,47,27
4058,19,33,35,38,46,49,39
4057,4,16,24,25,43,49,46
4056,2,10,13,15,37,40,28
4055,24,37,38,42,48,49,31
4054,3,25,31,37,39,42,21
4053,1,16,23,39,41,42,9
4052,5,8,13,28,30,49,17
4051,1,3,7,18,34,39,46
4050,16,18,22,23,28,35,32
4049,1,12,29,31,41,48,25
4048,2,9,13,24,26,43,49
4047,7,16,22,26,33,43,44
4046,9,10,18,35,43,49,42
4045,3,5,6,16,32,49,4
4044,6,13,18,27,35,46,48
4043,3,7,11,13,34,35,17
4042,13,32,34,36,38,40,37
4041,6,10,13,27,41,49,4
4040,9,11,24,29,39,46,31
4039,3,10,13,29,32,46,18
4038,8,21,30,35,44,49,39
4037,34,40,42,44,45,46,19
4036,3,9,10,20,23,32,42
4035,13,19,22,26,40,49,45
4034,17,18,19,31,32,33,8
4033,1,4,8,10,16,46,23
4032,8,14,15,20,31,49,13
4031,10,11,12,21,41,49,44
4030,1,2,4,15,18,24,35
4029,26,28,31,38,41,42,23
4028,4,7,11,14,21,28,36
4027,1,2,14,36,44,46,20
4026,12,16,29,36,39,40,37
4025,13,28,39,43,46,48,30
4024,4,12,17,18,23,34,28
4023,14,18,25,28,29,44,36
4022,2,6,10,17,18,49,35
4021,10,16,33,37,45,47,6
4020,20,24,28,37,46,47,36
4019,4,13,19,44,46,49,31
4018,2,4,10,25,36,38,22
4017,12,33,39,42,43,48,10
4016,1,17,24,25,27,39,30
4015,16,22,23,31,41,49,8
4014,2,9,15,17,40,48,28
4013,4,33,34,38,40,43,15
4012,17,23,26,31,38,40,14
4011,9,20,22,32,37,47,1
4010,7,13,17,22,31,37,1
4009,2,8,15,19,33,38,21
4008,5,6,14,36,45,49,12
4007,1,4,10,16,18,29,6
4006,1,13,27,38,40,43,2
4005,6,7,13,30,37,39,16
